Spanish,English
dicho,saying
nueva,new
sabía,I knew
muchas,many
dentro,within
hice,I did
contra,against
auto,auto
camino,road
ayuda,aid
primera,first
hacia,towards
vi,saw
miedo,fear
adiós,bye
primero,first
debería,should
poder,can
niños,kids
sería,would
historia,history
hey,Hey
mientras,while
ciudad,city
dijiste,said
espero,wait
cuánto,how many
esposa,wife
pronto,early
chicos,Boys
cualquier,any
viejo,old
debemos,must
deja,let
año,year
muerte,death
hablando,talking
manos,hands
da,gives
loco,crazy
problemas,problems
mano,hand
guerra,war
semana,week
pasar,spend
vale,okay
cuál,which
viene,comes
volver,return
toma,taking
caso,case
agua,Water
haré,I will do
vete,go away
entiendo,I get it
horas,hours
personas,people
capitán,captain
adelante,ahead
niño,little boy
listo,clever
noches,nights
buenos,good ones
iba,I was going
juntos,together
dame,give to me
único,unique
déjame,let me
cerca,close
otros,others
sigue,follow
grande,great
arriba,up
jefe,boss
habla,speech
supongo,I guess
manera,way
quieren,They want
feliz,happy
significa,it means
sangre,blood
fin,finish
bajo,bass
llama,call
venir,to come
morir,To die
importante,important
hiciste,did
ojos,eyes
escucha,listen
entrar,get in
ningún,none
corazón,heart
diablos,Devils
necesitamos,need
atrás,behind
durante,during
dices,You say
nuestros,our
persona,person
abajo,down
dr,Dr.
hija,daughter
dejar,let
necesita,needs to
llegar,get
hago,I make
señora,Mrs
haya,is
suficiente,enough
doctor,doctor
gustaría,would like
tierra,Earth
cara,expensive
siquiera,even
genial,cool
cree,Believe
supuesto,supposed
tomar,drink
equipo,equipment
justo,just
juego,play
ninguna,none
matar,to kill
cinco,five
dicen,They say
amo,love
cuándo,when
pequeño,little
algunos,Some
conozco,know
clase,class
maldito,damned
unas,nail
muchos,Many
hubiera,had
segundo,second
aunque,though
pueda,I can
dime,tell me
igual,Same
comida,food
ay,Oh
cuerpo,Body
encontrar,find
fuerte,strong
vuelta,lap
venga,come on
creer,believe
realidad,reality
saben,They know
puta,bitch
deberías,you should
pregunta,Question
fui,I was
cuatro,four
sra,Mrs
primer,first
trabajar,to work
e,and
hagas,you do
alto,tall
maldita,damn
comer,to eat
número,number
dar,to give
necesitas,you need
oportunidad,chance
punto,point
misma,same
última,last
afuera,outside
mujeres,women
pensar,to think
fueron,were
difícil,hard
vivir,to live
paso,step
malo,bad
estabas,You were
vivo,live
haga,make
queda,remains
hijos,sons
mayor,elderly
fiesta,party
hacen,make
medio,medium
algunas,some
basta,Enough
arma,weapon
vino,came
meses,months
cuarto,fourth
éste,East
escuela,school
esté,East
dólares,Dollars
tío,uncle
posible,possible
tuve,I had
fácil,easy
preocupes,worry
luz,light
eran,were
carajo,fuck
final,final
lista,ready
trata,about
armas,weapons
hermana,sister
exactamente,exactly
chicas,girls
podía,could
bastante,Quite
seguridad,security
pasando,going
esperando,hoping for
acá,here
teléfono,telephone
perro,dog
fuego,fire
murió,he died
tampoco,either
sola,alone
estuvo,he was
verte,to see you
iré,I will go
tenido,Dyed
culpa,fault
veras,you'll see
adónde,where to
buscando,searching
cuanto,how much
padres,fathers
paz,peace
demonios,demons
estará,will be
cual,which
perdón,sorry
asi,So
jugar,play
pensando,thinking
esperar,expect
sabemos,we know
recuerdo,memory
par,pair
joven,young man
seguir,continue
pueblo,village
tenga,have
caballeros,gentlemen
idiota,moron
dio,it gave
minuto,minute
bebé,baby
única,only
lejos,far
nuestras,ours
plan,plan
pienso,I think
sentido,sense
dormir,sleep
digas,you say
palabra,word
correcto,Right
control,control
vemos,we see
entiendes,You understand
país,country
seis,six
último,latest
ésta,is
diga,Say
podrías,could you
pequeña,small
cállate,shut
trato,deal
rey,king
sucede,happens
muchachos,boys
jamás,Never
cama,bed
srta,Ms
ayudar,help
acerca,about
di,gave
cambio,change
falta,lack
hospital,hospital
lleva,carries
presidente,President
mil,one thousand
gusto,taste
conoces,you know
diciendo,saying
os,you
ido,gone
general,general
extraño,weird
